ccnthum,anweight,party_feel_closest
0.4,0.07236499,left
0.4,0.16093153,left
0.4,1.3238645,left
0.4,0.3127494,left
0.4,0.6761484,left
0.4,0.054313693,left
0.8,0.5503057,left
0.4,0.91679144,left
0.0,0.24013658,left
0.8,0.056871403,left
0.8,0.25610402,left
0.4,0.107597955,left
0.4,0.057419594,middle left
-0.4,0.1956719,middle left
0.4,0.19322245,middle left
-0.4,0.24399126,middle left
0.4,0.4637355,middle left
0.0,0.215119,middle left
-0.4,0.2180197,middle left
0.4,0.102491125,middle left
-0.4,0.08725899,middle left
0.0,0.060802206,middle left
0.4,0.5365671,middle left
0.4,0.30558813,middle left
0.4,0.11403173,middle left
0.0,0.11381127,middle left
0.8,0.36051026,middle left
0.8,0.16215909,middle left
0.0,0.049507264,middle left
0.0,0.3352506,middle left
0.4,0.16153651,middle left
0.0,0.84682536,middle left
0.4,0.09193349,middle left
0.4,0.122005835,middle left
0.4,0.13517718,middle left
0.4,0.30171502,middle left
0.4,0.13517718,middle left
0.4,0.2314321,middle left
0.0,0.23177232,none
0.0,0.22425073,none
0.4,0.39956382,none
0.4,0.3925167,none
0.4,1.1630007,none
0.4,0.19154353,none
0.4,0.10293316,none
0.8,0.7409453,none
0.0,0.18327813,none
0.0,0.27543792,none
0.0,0.26502168,none
0.4,0.14867559,none
0.4,0.62026787,none
-0.4,0.07763201,none
0.8,0.39273718,none
0.4,0.6175744,none
0.4,0.15945986,none
0.0,1.2182386,none
0.0,0.14854403,none
0.4,0.45607427,none
0.4,0.04647404,none
0.4,0.16538699,none
0.0,0.5296074,none
0.0,0.23658256,none
-0.4,0.3724311,none
0.4,0.03842258,none
-0.8,0.19255431,none
-0.4,0.16929258,none
0.0,0.1816021,none
0.0,0.12189031,none
0.4,0.09994129,none
0.4,0.10090476,none
0.8,1.3238642,none
0.0,0.22200777,none
0.8,1.3238643,none
0.4,0.69403243,none
0.0,0.15292884,none
0.0,0.08135064,none
0.4,0.106315374,none
0.8,0.3733119,none
-0.8,1.3238645,none
0.0,0.07739918,none
0.4,0.18889411,none
0.4,0.20744528,none
0.4,1.3238645,none
0.4,0.51117456,none
0.4,1.3238645,none
0.4,0.6084558,none
0.0,0.33125782,none
0.4,0.27397722,none
0.4,0.23295255,none
0.0,0.10787089,none
0.4,0.05146658,none
0.4,0.85056734,none
0.0,0.33858517,none
0.4,0.8468738,none
0.0,0.12720636,none
0.4,0.3853418,none
0.0,0.28160122,none
0.0,0.12792477,none
0.0,0.091550596,none
0.4,0.6786746,none
0.0,0.34713432,none
-0.4,0.28280854,none
0.4,0.32221577,none
0.0,0.106591724,none
0.0,0.13942225,none
0.4,0.7116839,none
0.4,0.16294114,none
0.0,0.30682948,none
0.0,1.3238643,none
0.0,0.11057553,none
0.0,0.11663257,none
0.8,0.55597204,none
0.8,0.11107151,none
0.0,0.75601465,none
0.4,0.16378823,none
0.4,0.14894733,none
0.0,0.08184654,none
0.0,0.13517718,none
0.0,0.06690894,none
0.0,0.18208951,none
-0.8,0.19209859,none
0.4,0.122475594,none
0.0,0.16212454,none
0.4,0.087982416,none
0.0,0.27866265,none
0.4,0.19209859,none
0.0,0.15847784,none
0.0,0.28262457,none
0.0,0.09160248,none
0.0,0.26018414,none
0.8,0.07684516,none
0.4,0.20258978,none
0.0,0.12720636,none
0.8,0.18889411,none
-0.4,0.14772256,none
0.0,0.095822476,none
0.0,1.3238642,none
0.4,0.22967839,none
0.4,0.20036712,none
0.4,0.31736785,none
0.4,0.538723,none
0.4,0.27162236,none
0.0,0.053822216,none
-0.4,0.2758307,none
0.0,0.16093153,none
0.8,0.15993166,none
0.4,0.22502883,none
0.4,0.14813694,none
0.0,0.21616118,none
0.0,0.40996447,none
0.4,0.4145424,none
0.8,0.16872005,none
0.4,0.07400245,none
0.0,0.37467158,none
0.0,0.9322998,none
0.4,0.5215441,none
-0.8,0.30677795,none
0.4,0.107975386,none
0.0,0.7477343,middle right
-0.4,0.4609019,middle right
0.4,0.04563936,middle right
0.0,0.40284938,middle right
0.4,1.2849224,middle right
0.4,0.09160248,middle right
-0.4,0.102386475,middle right
0.0,0.30879104,middle right
0.4,0.36093432,middle right
0.4,0.2721703,middle right
0.0,0.39144412,middle right
0.0,1.0020479,middle right
0.4,0.15487799,middle right
0.4,0.13596885,middle right
-0.8,0.55558914,middle right
0.0,0.060802206,middle right
0.4,0.28676093,middle right
0.0,0.060802206,middle right
0.4,0.25875628,middle right
0.4,0.09611565,middle right
0.4,0.08130015,middle right
0.0,0.07182691,middle right
0.0,0.121793956,middle right
0.4,0.22760281,middle right
0.0,0.4606979,middle right
0.0,0.10090476,right
0.0,0.16204047,right
-0.4,0.28813544,right
0.0,0.21468475,right
0.0,0.045385156,right
-0.4,0.2967643,right
0.0,0.58769196,right
-0.4,0.26190728,right
0.4,1.0731342,right
0.0,0.08149638,right
0.4,0.13009207,right
-0.4,1.2416854,right
-0.8,0.5382311,right
-0.4,0.09936386,right
0.0,0.6152736,right
0.0,1.3165886,right
0.4,0.6860358,right
