wrclmch,prtcleat,anweight,party_feel_closest
0.5,1.0,0.13001321,middle left
1.0,5.0,0.107597955,left
1.0,5.0,1.3236659,left
0.5,66.0,0.058316287,none
0.5,5.0,0.35108042,left
0.5,66.0,0.4609019,none
0.0,1.0,0.19099933,middle left
0.5,5.0,0.20499675,left
0.5,66.0,0.22953385,none
-0.5,66.0,0.16289838,none
0.5,1.0,0.117543094,middle left
0.0,66.0,0.10388404,none
0.5,66.0,0.09160248,none
0.0,66.0,0.16842224,none
0.5,5.0,1.3238645,left
0.5,66.0,0.13777868,none
0.5,1.0,0.2902267,middle left
-0.5,2.0,0.4609019,middle right
0.0,66.0,0.5491631,none
0.0,66.0,0.42538047,none
-0.5,2.0,0.22425073,middle right
1.0,2.0,0.4821347,middle right
-0.5,66.0,0.37794974,none
-0.5,3.0,1.078077,right
0.0,66.0,0.3289331,none
0.0,66.0,0.063962385,none
0.5,66.0,0.58863974,none
0.0,66.0,0.11526765,none
0.0,66.0,0.11801526,none
-1.0,66.0,0.16815524,none
0.5,66.0,0.57176554,none
1.0,66.0,0.30178684,none
0.0,66.0,0.34181038,none
0.5,66.0,0.14735793,none
0.5,1.0,0.15502545,middle left
0.0,66.0,0.4721567,none
0.5,2.0,0.26229855,middle right
0.0,66.0,1.1879488,none
0.5,1.0,0.25650635,middle left
0.0,2.0,0.09077031,middle right
0.0,3.0,0.03693064,right
0.5,1.0,0.30155247,middle left
-1.0,66.0,0.35880417,none
0.5,5.0,0.30410862,left
-0.5,1.0,0.33889925,middle left
0.5,5.0,0.20314468,left
0.0,66.0,0.31406826,none
0.5,1.0,0.15414636,middle left
0.5,66.0,1.3238645,none
1.0,1.0,0.39221862,middle left
0.0,66.0,0.83082956,none
-0.5,3.0,0.20072679,right
0.5,66.0,0.10290363,none
0.0,66.0,0.07257932,none
0.0,2.0,0.1939665,middle right
0.0,1.0,0.17956828,middle left
0.0,66.0,0.15292884,none
1.0,66.0,0.29471585,none
0.5,66.0,0.30749494,none
0.0,3.0,0.46916294,right
0.0,66.0,0.13608515,none
0.5,66.0,0.14808734,none
0.0,66.0,0.39144412,none
0.0,2.0,0.08888855,middle right
0.5,66.0,0.3833811,none
0.5,1.0,0.4637355,middle left
0.5,66.0,1.1834918,none
0.0,1.0,0.28490525,middle left
0.0,66.0,0.22311963,none
0.0,66.0,0.09078405,none
0.0,1.0,0.19830987,middle left
0.0,66.0,0.11609869,none
0.5,1.0,0.115610704,middle left
1.0,66.0,0.2882518,none
0.0,66.0,0.538207,none
0.0,66.0,0.4081498,none
0.5,66.0,0.51220804,none
0.5,66.0,0.04107029,none
0.5,3.0,0.11782725,right
0.5,2.0,1.3238645,middle right
0.5,5.0,0.6982442,left
-0.5,3.0,0.27458155,right
0.0,66.0,0.5992638,none
0.5,5.0,0.06690894,left
0.0,2.0,0.43157864,middle right
0.0,66.0,0.07701716,none
0.5,66.0,0.17208794,none
0.0,2.0,0.39144412,middle right
0.5,6.0,1.184588,left
0.0,66.0,0.2087635,none
0.5,1.0,0.19803452,middle left
0.0,1.0,0.34040025,middle left
-1.0,66.0,0.30122787,none
0.0,66.0,1.0938772,none
1.0,3.0,0.15307996,right
0.0,66.0,0.09672516,none
0.0,66.0,0.14808734,none
0.0,66.0,0.36943728,none
0.0,3.0,0.060802206,right
1.0,5.0,0.11028964,left
1.0,66.0,0.27723068,none
0.0,2.0,0.06571625,middle right
0.5,1.0,0.164786,middle left
0.5,66.0,0.20258978,none
-0.5,66.0,0.20828111,none
0.5,2.0,0.45005766,middle right
0.0,66.0,0.2242507,none
0.5,66.0,0.10828316,none
0.5,1.0,0.122005835,middle left
1.0,5.0,0.14184768,left
0.5,1.0,0.097230025,middle left
0.0,5.0,0.97130644,left
-0.5,1.0,0.24399126,middle left
0.0,1.0,0.09577179,middle left
0.0,2.0,0.31237015,middle right
0.0,66.0,0.114422105,none
0.5,66.0,0.21811019,none
0.5,2.0,0.20097044,middle right
0.0,7.0,0.0902723,middle right
0.5,66.0,0.44862875,none
-0.5,66.0,0.9413507,none
0.5,2.0,1.0020479,middle right
0.5,66.0,0.34205598,none
0.0,66.0,0.07454017,none
0.0,66.0,0.23328903,none
0.0,66.0,0.5238143,none
0.0,3.0,0.15409446,right
0.5,66.0,0.31406826,none
0.5,66.0,0.55597204,none
0.5,3.0,0.16035862,right
0.5,2.0,0.13517718,middle right
0.5,5.0,0.17426597,left
0.0,5.0,0.043200288,left
0.0,1.0,0.37241134,middle left
0.0,66.0,0.35914776,none
0.0,66.0,0.34245372,none
-0.5,1.0,0.215119,middle left
0.0,1.0,0.036070555,middle left
-0.5,66.0,0.4831552,none
0.5,66.0,0.17249608,none
-0.5,66.0,0.40063697,none
0.5,66.0,0.4629585,none
0.0,1.0,1.3236659,middle left
0.5,66.0,0.2658416,none
-1.0,3.0,0.6690131,right
0.5,66.0,0.90948963,none
0.0,66.0,0.09154959,none
0.0,66.0,0.08076826,none
0.5,66.0,0.1594869,none
0.5,88.0,0.27759907,none
0.0,66.0,0.23768474,none
0.5,66.0,0.06579067,none
-0.5,66.0,0.414147,none
-1.0,66.0,0.12696582,none
0.0,2.0,0.038699605,middle right
0.0,66.0,0.09078405,none
0.0,66.0,0.17940208,none
0.0,66.0,0.13412212,none
0.5,66.0,0.21468475,none
0.0,66.0,0.047883477,none
0.0,66.0,0.08905684,none
0.5,66.0,0.5062849,none
