wrclmch,anweight,party_feel_closest
0.4,0.095651016,left
0.4,0.6982442,left
0.4,0.13899043,left
0.4,1.184588,left
0.4,0.3357224,left
0.4,0.11651409,left
0.4,0.16271207,left
0.8,0.19625835,left
0.0,0.040366948,left
0.0,0.35935262,left
0.8,0.056871403,left
0.4,0.17859542,middle left
0.4,0.28886795,middle left
0.4,0.27798086,middle left
0.0,0.164786,middle left
0.8,0.26129964,middle left
0.0,0.10376495,middle left
0.4,0.22805028,middle left
0.0,0.057419594,middle left
0.4,0.04403058,middle left
0.4,0.67275184,middle left
0.0,0.10487097,middle left
0.0,0.4625385,middle left
-0.4,0.10372264,middle left
0.0,0.12189031,middle left
0.0,0.095446646,middle left
0.0,0.4584809,middle left
0.4,0.046017826,middle left
0.0,0.21999323,middle left
0.4,0.3061599,middle left
0.0,0.060802206,middle left
-0.4,0.9663104,middle left
0.0,0.049507264,middle left
0.8,0.19209859,middle left
0.4,0.22311966,middle left
0.4,0.27694744,middle left
0.4,0.12976523,middle left
0.4,0.058316287,middle left
-0.4,1.0453805,middle left
0.4,0.101897456,middle left
0.4,0.164786,middle left
0.0,0.18841654,none
0.4,0.51911527,none
0.0,0.18767118,none
0.4,0.16929258,none
0.0,0.38523594,none
0.8,0.0899917,none
0.8,0.29471585,none
0.0,0.08068949,none
0.4,0.34040025,none
0.4,0.57176554,none
0.4,0.31276816,none
0.4,0.45607427,none
0.4,0.12189031,none
0.0,0.21814755,none
0.4,0.31625628,none
-0.4,0.46916294,none
0.8,0.94633317,none
0.4,0.39067268,none
-0.4,0.19830987,none
-0.4,1.2225335,none
0.0,0.095822476,none
0.0,0.047911238,none
-0.8,0.3411543,none
0.0,0.054040294,none
0.0,0.24013658,none
0.0,0.13608515,none
0.0,0.45184156,none
0.4,0.75601465,none
0.0,0.09143868,none
0.0,0.94909555,none
0.0,0.05774985,none
0.4,1.3238642,none
0.0,0.3289331,none
0.4,0.09199608,none
-0.4,0.7037452,none
0.0,0.27866265,none
0.0,0.38083032,none
0.0,0.31551477,none
0.0,0.9169618,none
0.0,0.2242507,none
0.0,0.09695831,none
0.0,0.14808734,none
0.4,0.047825508,none
-0.8,0.080733895,none
0.4,0.6676314,none
0.4,0.1893132,none
0.0,0.12160441,none
0.0,0.17940208,none
0.4,0.8009269,none
0.0,1.3238645,none
0.0,0.6786746,none
0.0,0.39144412,none
0.0,0.31998032,none
0.0,0.21258536,none
0.0,0.1676253,none
0.8,0.2701594,none
0.4,0.3093612,none
0.0,0.14477287,none
-0.8,0.19209859,none
-0.4,0.31014088,none
0.0,0.07684516,none
0.0,0.510208,none
0.4,0.13517718,none
0.8,1.3238643,none
0.4,0.09976586,none
0.0,0.07626979,none
0.8,0.9193418,none
0.0,0.21522257,none
0.4,0.08073391,none
0.4,0.09160248,none
0.0,0.24013658,none
0.0,0.15369032,none
0.0,1.0102668,none
0.0,0.13009207,none
0.0,0.4721567,none
-0.4,0.6852419,none
0.0,0.18054458,none
0.0,0.8437367,none
0.0,1.2182386,none
0.4,0.7382082,none
-0.4,0.42221728,none
0.8,0.7702916,none
0.0,0.1934981,none
0.0,0.12130628,none
0.0,0.29859263,none
0.0,0.27020162,none
0.0,1.3238645,none
-0.4,1.106983,none
-0.4,0.057419594,none
0.4,1.3238645,none
0.0,0.12160441,none
0.4,0.2624325,none
0.8,0.30178684,none
0.0,0.07763201,none
0.4,0.097977616,none
-0.8,0.47110292,none
0.0,0.15414636,none
0.4,0.060509577,none
0.0,1.3238645,none
0.0,0.1868448,none
-0.8,0.31606352,none
0.0,0.23973201,none
0.8,0.7505176,none
0.0,0.20577735,none
0.0,0.1678612,none
-0.4,1.3238642,none
0.4,0.13942225,none
0.4,0.17554021,none
0.0,0.0718269,none
0.4,0.07704723,none
-0.4,0.087982416,none
0.8,0.14777084,none
0.0,0.20036717,none
0.0,1.3238642,none
0.0,0.058316287,none
0.0,0.23615955,none
0.0,0.19830987,none
0.0,0.16183701,middle right
-0.4,0.30879104,middle right
0.8,0.4821347,middle right
0.0,0.1676253,middle right
0.0,0.13596885,middle right
0.0,1.3238643,middle right
0.0,0.053822216,middle right
0.0,0.07827584,middle right
0.0,0.20661065,middle right
0.0,0.35959753,middle right
0.8,0.5413078,middle right
0.4,0.77728224,middle right
0.4,0.29267672,middle right
0.4,0.22856614,middle right
0.0,0.10664708,middle right
0.0,0.09372955,middle right
-0.4,0.4821347,middle right
-0.4,0.4544635,middle right
0.0,0.3357223,middle right
0.8,0.08725899,middle right
0.8,0.39902058,middle right
0.0,0.1154997,middle right
0.4,0.11268804,middle right
0.4,0.09160248,middle right
0.0,0.15538724,middle right
0.8,0.84462255,middle right
-0.4,0.23237638,middle right
0.4,0.13899043,middle right
-0.4,0.6773098,middle right
0.0,0.46916294,right
-0.4,0.08888855,right
-0.4,0.12750545,right
0.0,0.27017623,right
-0.4,0.78572345,right
0.0,0.5897954,right
-0.4,0.5238143,right
0.0,0.23609287,right
-0.4,0.10293316,right
0.0,0.5365671,right
-0.4,0.2594296,right
-0.4,0.5765341,right
-0.4,0.35759655,right
