wrclmch,anweight,party_feel_closest
0.4,1.3238645,left
0.8,0.056871403,left
0.8,0.21519591,left
0.4,0.095651016,left
0.4,0.20499675,left
0.4,0.22220494,left
0.4,1.3238643,left
0.4,0.91679144,left
0.8,0.18976213,left
0.4,0.3931305,left
0.0,0.14472999,middle left
0.8,0.12923826,middle left
0.4,0.07769362,middle left
0.4,0.21999323,middle left
0.0,0.13879953,middle left
0.0,0.35286197,middle left
0.0,0.24320082,middle left
0.0,0.45479086,middle left
0.8,0.55609435,middle left
0.0,0.34867233,middle left
0.4,0.553629,middle left
0.4,0.15502545,middle left
0.4,0.063752726,middle left
0.4,0.097230025,middle left
0.0,0.24307518,middle left
0.0,0.06214383,middle left
0.8,0.10090476,middle left
0.0,0.09646117,none
0.4,0.14867559,none
0.0,0.14720772,none
0.8,1.3238645,none
0.0,0.13608515,none
0.0,0.31406826,none
-0.4,0.6852419,none
0.4,0.30091238,none
0.0,0.1934981,none
0.0,0.19830985,none
0.4,1.3238643,none
0.0,0.21814755,none
0.4,0.120181404,none
0.4,1.3238645,none
0.4,0.30459514,none
0.8,0.3679312,none
0.4,0.17457436,none
0.4,0.5429983,none
0.4,0.23923036,none
0.0,0.10228192,none
0.0,0.12160441,none
0.4,0.45739654,none
0.0,0.21522257,none
0.4,1.3238642,none
0.4,0.09160248,none
-0.4,0.06923208,none
-0.4,0.36697358,none
0.0,0.41595003,none
0.4,0.5162875,none
0.4,0.30155244,none
0.0,0.39240095,none
0.0,0.22115105,none
0.4,0.20094818,none
0.4,0.30829272,none
0.0,0.11663257,none
0.0,0.12657121,none
0.0,0.2998124,none
0.8,0.83083594,none
0.0,0.11618819,none
0.4,0.09976586,none
0.0,0.30122787,none
-0.4,0.3588042,none
0.4,0.42538047,none
0.0,0.17998353,none
0.0,0.40937296,none
-0.8,0.1805719,none
0.0,0.8437367,none
0.4,0.35286412,none
0.4,1.0020479,middle right
0.8,0.13861534,middle right
0.8,0.15487799,middle right
0.0,0.4269993,middle right
0.4,0.07427202,middle right
0.0,0.1939665,middle right
0.0,0.16929258,middle right
0.0,0.27555737,middle right
0.0,0.17090514,middle right
0.4,0.08725899,middle right
0.4,1.3238645,middle right
0.0,0.19709627,middle right
-0.4,0.39144412,middle right
0.8,0.19394627,middle right
0.0,0.16212454,right
0.4,0.09348369,right
-0.4,0.26190716,right
-0.8,0.1441259,right
0.0,0.43957788,right
0.0,0.092465535,right
0.4,0.6640751,right
-0.4,0.20072679,right
-0.4,0.47409463,right
0.0,0.28590885,right
-0.4,0.12779364,right
